Fish,Date,Location,Site,CentralLatitude,CentralLongitude,AgeCategory,Species,TotalLength_mm,ForkLength_mm,TotalWeight_g,LiverWeight_g,GonadWeight_g,SubgonadWeight_g,Sex,Filet,FieldComments,DateWW,Vial_g,FiletandVialWW_g,Date_dw,FiletandVialDW_g,Comments,PercentMoisture,DmaDate,MassAnalyzed_g,Hg_ng,Hg_ug,Hg_ug_per_kgww,Hg_ug_per_kgdw,DmaComments
NF-YP-A-1,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,240,230,149.9,1.361,2.87,1.811,F,Y,parasites in filet,2020-10-25,7.10058,10.69403,2020-10-29,7.89346,,77.93541,2020-12-10,0.0104,12.5989,0.0125989,267.2982068,1211.4352,
NF-YP-A-2,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,191,184,81.5,0.703,2.33,,M,Y,parasites,2020-10-25,7.1048,9.96638,2020-10-29,7.72809,,78.21868,2020-11-25,0.0103,11.5042,0.0115042,243.2791101,1116.9161,
NF-YP-A-3,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,183,176,70.7,0.598,0.68,,M,Y,,2020-12-15,7.04488,8.61644,2020-12-18,7.41676,,76.33689,,,,,,,
NF-YP-A-4,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,193,185,90.2,0.955,1.229,,F,Y,a few parasites,2020-10-25,7.09663,8.86108,2020-10-29,7.48436,,78.02545,,,,,,,
NF-YP-A-5,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,183,176,78.3,0.752,0.596,,F,Y,,2020-12-13,7.16772,9.0335,2020-12-16,7.59301,,77.20578,,,,,,,
NF-YP-A-6,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,181,172,73.5,0.662,1.835,,M,Y,,2020-11-09,8.5231,11.93096,2020-11-12,9.24494,plus lid,78.81838,,,,,,,
NF-YP-A-7-DUP,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,280,260,208.4,2.112,2.5,1.282,F,Y,,,,,,,,,,,,,,1300.7621,
NF-YP-A-7,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,280,260,208.4,2.112,2.5,1.282,F,Y,,2020-10-25,7.02469,9.97848,2020-10-29,7.61136,,80.1384,2020-11-03,0.0103,15.2347,0.0152347,293.7724319,1479.0974,
NF-YP-A-8,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,158,152,47.1,0.396,0.938,,M,Y,,2020-10-28,7.09802,9.06914,2020-11-03,7.52744,,78.21442,,,,,,,
NF-YP-A-9,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,152,144,41.2,0.338,0.139,,F,Y,,2020-10-29,7.05593,9.2276,2020-11-03,7.50302,,79.41262,2020-12-11,0.0101,7.1074,0.0071074,144.8736546,703.7012,
NF-YP-A-10,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,125,120,21.9,0.219,0.074,,F,Y,,,,,,,,,,,,,,,
NF-YP-A-11,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,162,151,55.2,0.888,0.804,,F,Y,,2020-10-29,7.09243,9.1305,2020-11-03,7.4705,,81.44961,2020-12-10,0.0101,7.5836,0.0075836,139.2863513,750.8539,
NF-YP-A-12,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,161,155,50.8,0.542,0.458,,F,Y,,,,,,,,,,,,,,,
NF SMB-A-3,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,274,259,260.4,2.346,2.477,1,F,Y,,,,,,,,,,,,,,,
NF-YP-A-13,2020-09-08,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,111,106,15.8,NA,NA,,IM,N,,,,,,,,,,,,,,,
NF-YP-A-14-DUP,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,238,229,161.6,1.596,2.978,1.261,F,Y,,,,,,,,,2020-12-10,0.0101,14.0019,0.0140019,,1386.3226,
NF-YP-A-14,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,238,229,161.6,1.596,2.978,1.261,F,Y,,2020-10-25,7.05912,8.26473,2020-10-29,7.30977,,79.20969,2020-12-10,0.0102,14.5192,0.0145192,295.9389982,1423.4471,
NF-YP-A-15-DUP,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,208,200,103.5,1.284,1.701,1.35,F,Y,,,,,,,,,2020-12-09,0.0103,6.1723,0.0061723,,599.2538,
NF-YP-A-15,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,208,200,103.5,1.284,1.701,1.35,F,Y,,2020-10-25,7.05905,8.38866,2020-10-29,7.35577,,77.68368,2020-12-09,0.0101,6.4303,0.0064303,142.07934,636.6612,
NF-YP-A-16,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,244,235,182.1,1.553,3.17,1.49,F,Y,,2020-10-29,7.02475,10.56418,2020-11-03,7.75723,,79.30514,2020-12-10,0.0103,16.3124,0.0163124,327.7507104,1583.7302,
NF-YP-A-17,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,215,206,106.7,1.157,2.311,1.298,F,Y,,2020-10-28,7.07082,9.08075,2020-11-03,7.49166,,79.06196,,,,,,,
NF-YP-A-18,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,185,176,74.7,0.743,0.8,,F,Y,,2020-10-25,7.07164,9.86122,2020-10-29,7.68074,,78.16517,2020-11-25,0.0103,5.9594,0.0059594,126.3332153,578.5858,
NF-YP-A-19,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,247,238,168.1,1.277,2.321,1.07,F,Y,,2020-10-28,7.10268,9.05599,2020-11-03,7.51086,,79.10316,,,,,,,
NF-YP-A-20,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,224,216,142.3,1.779,2.867,1.227,F,Y,,2020-10-28,7.09503,10.95217,2020-11-03,7.96376,,77.47735,2020-12-10,0.0104,8.8087,0.0088087,190.7645395,846.9899,
NF-YP-A-21,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,203,194,107,1.341,1.77,1,F,Y,,2020-11-09,7.08831,11.295,2020-11-12,7.98828,,78.60622,2020-12-11,0.0101,8.3007,0.0083007,175.8249513,821.8508,
NF-YP-A-22,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,180,173,69.5,0.514,1.759,,M,Y,,2020-10-25,7.0728,7.95019,2020-10-29,7.26765,,77.79209,2020-12-09,0.0105,8.7305,0.0087305,184.6532372,831.475,
NF-YP-A-23,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,176,168,66.7,0.768,0.897,,F,Y,,2020-12-13,7.09439,10.89737,2020-12-16,7.93162,,77.9849,,,,,,,
NF-YP-A-24,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,220,212,99.4,0.744,1.786,1.21,F,Y,,2020-12-13,7.12526,8.91371,2020-12-16,7.49069,,79.56722,,,,,,,
NF-YP-A-25,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,211,202,108.2,1.01,1.71,1.029,F,Y,,2020-11-09,8.56147,13.16316,2020-11-12,9.58036,PLUS LID,77.85835,,,,,,,
NF-YP-A-26,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,219,210,138.6,1.543,2.032,1.216,F,Y,,2020-11-09,7.11097,12.08152,2020-11-12,8.18784,,78.33499,,,,,,,
NF-YP-A-27,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,187,180,82.7,1.229,1.149,,F,Y,,2020-12-16,7.08004,10.76822,2020-12-18,7.85652,,78.9468,,,,,,,
NF-YP-A-28,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,186,178,76.9,1.049,1.062,,F,Y,,2020-10-25,7.02408,8.7887,2020-10-29,7.42015,,77.55494,2020-12-09,0.0102,9.0675,0.0090675,199.529392,888.968,
NF-YP-A-29,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,221,211,123.1,0.993,3.226,,M,Y,,2020-11-09,8.61552,12.63049,2020-11-12,9.48436,PLUS LID,78.35999,2020-12-14,0.0105,19.5431,0.0195431,402.7739923,1861.2466,
NF-YP-A-30,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,244,236,163.5,1.124,2.009,1.606,F,Y,,2020-10-25,7.08901,9.56223,2020-10-29,7.63758,,77.8196,2020-11-25,0.0102,13.1453,0.0131453,285.8518327,1288.7589,
NF-YP-A-31,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,193,185,87.3,0.616,0.933,,M,Y,,2020-10-29,7.10739,9.13277,2020-11-03,7.52296,,79.48188,2020-12-10,0.0102,10.5706,0.0105706,212.6353206,1036.3292,
NF-YP-A-32,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,172,165,65,0.738,0.578,,F,Y,,2020-11-09,8.72798,11.4136,2020-11-12,9.28969,PLUS LID,79.08453,2020-12-14,0.0102,21.245,0.021245,435.6361166,2082.8418,
NF-YP-A-33,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,201,191,97.8,0.711,1.441,,M,Y,,2020-10-25,7.07124,9.69171,2020-10-29,7.67396,,76.99955,2020-12-09,0.0102,10.6758,0.0106758,240.733195,1046.6454,
NF-YP-A-34,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,199,191,84.5,0.603,1.114,,M,Y,,2020-11-09,8.62071,11.45352,2020-11-12,9.25379,PLUS LID,77.65187,,,,,,,
NF-YP-A-35,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,171,164,59.7,0.71,0.922,,M,Y,,2020-11-09,8.54526,11.20844,2020-11-12,9.13309,PLUS LID,77.92752,2020-12-14,0.0103,14.2945,0.0142945,306.3258505,1387.8177,
NF-YP-A-36-DUP,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,171,164,65.8,0.817,0.742,,M,Y,,,,,,,,,2020-12-14,0.0104,16.3181,0.0163181,,1569.0479,
NF-YP-A-36,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,171,164,65.8,0.817,0.742,,M,Y,,2020-11-09,7.08671,8.77499,2020-11-12,7.43589,,79.31741,2020-12-14,0.0102,16.1812,0.0161812,328.1064282,1586.3896,
NF-YP-A-37,2020-09-09,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,179,171,63.4,0.741,0.842,,M,Y,,2020-10-29,7.10679,8.43721,2020-11-03,7.36528,,80.5708,2020-12-11,0.0105,6.0643,0.0060643,112.2136134,577.5513,
NF-YP-A-38,2020-09-10,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,294,284,237.2,2.393,4.739,2.234,F,Y,,2020-11-09,7.07601,11.20402,2020-11-12,7.92855,,79.34743,,,,,,,
NF-YP-A-39,2020-09-10,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,218,210,122.2,1.851,2.331,2.331,F,Y,weird back deformity,,,,,,,,2020-12-09,0.0103,14.7067,0.0147067,,1427.8347,
NF-YP-A-40,2020-09-10,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,239,231,148.8,2.073,3.281,3.281,F,Y,,,,,,,,,,,,,,,
NF-YP-A-41,2020-09-10,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,225,215,129.2,1.365,1.945,1.945,F,Y,,2020-12-16,7.10984,11.52858,2020-12-18,8.09395,,77.72872,,,,,,,
NF-YP-A-42,2020-09-10,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,203,195,102.2,1.376,1.929,1929,F,Y,,2020-12-14,7.06182,8.39804,2020-12-16,7.35937,,77.73196,,,,,,,
NF-YP-A-43,2020-09-10,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,196,188,78.9,0.954,1.2,1.2,F,Y,,2020-10-05,7.12437,8.61736,2020-10-29,7.4538,,77.93488,2020-11-04,0.0104,20.0576,0.0200576,425.550926,1928.6139,
NF-YP-A-44,2020-09-10,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,194,185,85.6,0.595,1.945,,M,Y,,2020-11-09,8.55899,12.65041,2020-11-12,9.43829,PLUS LID,78.50868,2020-12-14,0.0105,7.2229,0.0072229,147.837645,687.8948,
NF-SMB-A-4,2020-09-10,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,455,430,1140,14.179,20.56,1.386,F,Y,,2020-10-25,7.04497,9.6995,2020-10-29,7.63839,,77.64501,2020-11-03,0.0102,9.9228,0.0099228,217.4749846,972.8251,double check sheet
NF-SMB-A-5,2020-09-10,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,401,380,789,7.084,2.861,,M,Y,,2020-11-09,7.07633,11.25421,2020-11-12,7.94149,,79.29189,,,,,,,
NF-SMB-A-6,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,436,416,1028,7.629,17.25,1.039,F,Y,,2020-10-25,7.05545,7.48996,2020-10-29,7.1606,,75.80033,2020-11-04,0.0101,34.4732,0.0344732,825.9808013,3413.1899,
NF-SMB-A-6-DUP,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,436,416,1028,7.629,17.25,1.039,F,Y,,,,,,,,,2020-11-04,0.0104,35.8564,0.0358564,,3447.7288,
NF-SMB-A-7,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,395,376,792,7.051,4.018,,M,Y,one otolith only,2020-12-15,7.0632,10.11519,2020-12-18,7.7645,,77.02155,,,,,,,
NF-SMB-A-8-DUP,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,502,480,1615,19.876,25.658,1.335,F,Y,,,,,,,,,2020-12-10,0.0102,50.4232,0.0504232,,4943.4556,
NF-SMB-A-8,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,502,480,1615,19.876,25.658,1.335,F,Y,,2020-10-29,7.04166,10.67102,2020-11-03,7.86662,,77.26982,2020-12-10,0.0104,54.5255,0.0545255,1191.706745,5242.8394,
NF-SMB-A-9,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,366,345,657,6.339,3.683,,M,Y,,2020-10-29,7.22502,8.6666,2020-11-03,7.50069,,80.87723,2020-12-11,0.0103,26.4187,0.0264187,490.4842574,2564.9229,
NF-SMB-A-10,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,385,366,653,4.918,9.857,1.362,F,Y,,2020-10-28,7.10569,10.02035,2020-11-03,7.76862,duplicate,77.25532,2020-12-11,0.0105,31.1813,0.0311813,675.4371159,2969.6492,
NF-SMB-A-11,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,288,275,321,3.859,2.776,1.355,F,Y,,2020-12-14,7.13678,10.49768,2020-12-16,7.93617,,76.215,,,,,,,
NF-SMB-A-12,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,348,332,548,4.063,2.83,,M,Y,,2020-10-28,7.09064,10.01289,2020-11-03,7.763,duplicate,76.9917,2020-12-10,0.0103,21.5322,0.0215322,480.9905028,2090.5088,
NF-SMB-A-13,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,337,322,501,4.313,5.557,0.938,F,Y,,,,,,,,,2020-12-10,0.0102,26.7551,0.0267551,,2623.0459,
NF-SMB-A-14,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,289,275,296,2.646,1.595,,M,Y,,2020-10-25,7.05241,7.96344,2020-10-29,7.25724,,77.51666,2020-12-08,0.0103,31.7117,0.0317117,692.2175699,3078.8018,
NF-SMB-A-15,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,361,344,670,5.51,10.046,0.986,F,Y,lots of nematoed,2020-11-09,8.64631,12.7999,2020-11-12,9.59172,PLUS LID,77.23873,,,,,,,
NF-SMB-A-16,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,258,243,218,2.269,1.262,,F,Y,only 1 otolith/parasites,2020-10-29,7.14239,8.84679,2020-11-03,7.5142,,78.18529,2020-12-10,0.0104,18.2289,0.0182289,382.3639154,1752.7798,
NF-SMB-A-17,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,313,306,367,3.807,0.352,,M,Y,"large intrusion when caught, dead in morning",2020-10-28,7.15219,11.06601,2020-11-03,7.76368,,84.37613,,,,,,,
NF-SMB-A-18,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,253,242,217,1.779,1.632,,F,Y,one borken otolith,2020-12-16,7.10378,8.25085,2020-12-18,7.37073,,76.72766,,,,,,,
NF-SMB-A-19,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,254,242,212,2.407,1.52,,F,Y,,2020-12-16,7.12758,10.57983,,,not dry went back to FD,,,,,,,,
NF-SMB-A-20,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,263,251,214,1.978,0.793,,M,Y,,2020-10-25,7.04732,9.78271,2020-10-29,7.67636,,77.00364,2020-12-08,0.0105,21.1563,0.0211563,463.350479,2014.8866,
NF-SMB-A-21,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,253,242,203,1.879,1.215,,M,Y,,2020-10-25,7.09648,8.15564,2020-10-29,7.34193,,76.82598,2020-11-03,0.0104,8.7007,0.0087007,193.8760458,836.6093,
NF-SMB-A-22,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,251,238,197,1.727,1.049,,M,Y,,2020-12-14,7.0091,12.5092,2020-12-16,8.25314,,77.3815,,,,,,,
NF-SMB-A-23,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,239,229,169,,,,IM,Y,,2020-10-29,7.16245,7.96783,2020-11-03,7.33051,,79.13283,2020-12-11,0.0102,18.0993,0.0180993,370.2763618,1774.4447,
NF-YP-A-45,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,171,164,59,0.604,3.618,,M,Y,,2020-12-13,7.13345,9.67446,2020-12-16,7.70546,,77.48887,,,,,,,
NF-YP-A-46,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,226,220,123,1.045,5.725,,M,Y,,2020-10-25,7.12169,8.313,2020-10-29,7.34964,,80.8656,2020-12-01,0.0105,15.5094,0.0155094,282.6312692,1477.0847,
NF-YP-A-#1,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,261,253,183.3,,,,,Y,,2020-10-25,7.07282,8.83691,2020-10-29,7.48094,,76.86513,2020-11-25,0.0103,12.2203,0.0122203,274.4811223,1186.4388,
NF-SMB-A-#1,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,205,196,108.1,,,,,Y,,2020-10-25,7.09681,8.53824,2020-10-29,7.4421,,76.04532,2020-12-09,0.0102,10.769,0.010769,252.9096239,1055.7836,
NF-SMB-A-#2,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,230,220,150.1,,,,,Y,,2020-10-25,7.09258,9.13408,2020-10-29,7.57739,,76.25227,2020-12-01,0.0103,15.2634,0.0152634,351.9134743,1481.8823,
NF-SMB-A-#3,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,222,211,128.8,,,,,Y,,2020-12-15,7.08526,9.64737,2020-12-18,7.65833,,77.63289,,,,,,,
NF-SMB-A-#4,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,202,193,99.9,,,,,Y,,2020-10-25,7.04437,10.44583,2020-10-29,7.80877,fluctuating last 2 digs,77.5273,2020-12-01,0.0102,27.7926,0.0277926,612.3291521,2724.7686,
NF-SMB-A-#4-DUP,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,202,193,99.9,,,,,Y,,,,,,,,,2020-12-01,0.0105,28.6389,0.0286389,,2727.5161,
NF-SMB-A-#5,2020-09-15,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,212,201,123.4,,,,,Y,,2020-10-25,7.0744,8.33173,2020-10-29,7.36212,,77.11659,2020-12-09,0.0105,15.9501,0.0159501,347.6121813,1519.0575,
NF-SMB-A-24,2020-09-16,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,399,381,871,7.095,14.293,1.731,F,Y,frozen,2020-10-25,7.07628,9.05914,2020-10-29,7.52816,,77.2107,2020-11-25,0.0102,26.8414,0.0268414,599.7026631,2631.5093,
NF-SMB-A-25,2020-09-16,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,400,383,776,8.466,3.852,,M,Y,"frozen, one otolith",2020-10-25,7.122,10.16139,2020-10-29,7.78015,,78.34598,2020-12-09,0.0105,40.6566,0.0406566,838.4565608,3872.0603,
NF-SMB-A-26,2020-09-16,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,300,288,313,2.029,1.827,,M,Y,"frozen, one otolith broken",2020-10-29,7.06907,10.89393,2020-11-03,7.86943,,79.07479,2020-12-11,0.0104,29.8035,0.0298035,599.6585444,2865.7229,
NF-SMB-A-27,2020-09-16,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,306,289,374,2.807,5.572,1.122,F,Y,"frozen, parasites in muscle, one on liver",2020-10-28,7.08698,8.7002,2020-11-03,7.46155,,76.78122,,,,,,,
NF-YP-A-#2,2020-09-16,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,261,250,209.8,,,,F,Y,frozen,2020-10-29,7.08645,8.35651,2020-11-03,7.35325,,78.99312,2020-12-10,0.0101,15.2594,0.0152594,317.3776385,1510.827,
NF-YP-A-#3,2020-09-16,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,211,204,112.8,,,,F,Y,frozen,2020-10-25,7.06999,9.49482,2020-10-29,7.61888,,77.36377,2020-12-08,0.0103,12.8147,0.0128147,281.6276556,1244.1458,
NF-YP-A-47,2020-09-16,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,216,209,114.2,0.779,2.215,,M,Y,frozen,2020-10-29,7.11332,9.25622,2020-11-03,7.57413,,78.49596,2020-12-10,0.0103,9.6064,0.0096064,200.559139,932.6581,
NF-YP-A-#4,2020-09-16,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,203,195,98.8,,,,F,Y,frozen,2020-10-28,7.10752,8.78736,2020-11-03,7.47397,,78.18542,,,,,,,
NF-YP-A-48,2020-09-16,Saint John River,NF,45.97149,-66.719803,Adult,Yellow Perch,198,190,93.7,0.599,2.802,,M,Y,frozen,2020-10-29,7.09606,9.31711,2020-11-03,7.55259,,79.44531,,,,,,,
NF-SMB-A-28,2020-09-24,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,445,420,1184,12.127,23.219,1.299,F,Y,broken otoliths,2020-12-14,7.08432,9.68943,2020-12-16,7.67294,,77.40518,,,,,,,
NF-SMB-A-29,2020-09-24,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,458,426,1380,18.762,8.455,,M,Y,,2020-12-16,7.13103,10.97378,2020-12-18,7.9975,,77.45182,,,,,,,
NF-SMB-A-30-DUP,2020-09-24,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,419,394,1025,12.458,16.569,1.139,F,Y,,,,,,,,,2020-12-10,0.0104,19.2032,0.0192032,,1846.4614,
NF-SMB-A-30,2020-09-24,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,419,394,1025,12.458,16.569,1.139,F,Y,,2020-10-29,7.1124,11.2872,2020-11-03,7.98762,,79.03564,2020-12-10,0.0102,19.2968,0.0192968,396.6129199,1891.8439,
NF-SMB-A-31,2020-09-24,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,417,400,1121,11.605,6.061,,M,Y,,2020-12-14,7.02928,8.76249,2020-12-16,7.4058,,78.27615,,,,,,,
NF-SMB-A-32,2020-09-24,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,412,394,944,6.876,5.929,,M,Y,,2020-12-15,7.11111,8.6236,2020-12-18,7.44,,78.25506,,,,,,,
NF-SMB-A-33,2020-09-24,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,433,410,1041,13.27,22.976,1.787,F,Y,,2020-10-25,7.04213,8.66813,2020-10-29,7.40706,,77.55658,2020-11-04,0.0103,37.5609,0.0375609,818.4424708,3646.6924,
NF-SMB-A-34,2020-09-24,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,458,435,1305,13.29,7.547,,M,Y,,2020-12-14,7.08396,12.69606,2020-12-16,8.28873,,78.53263,,,,,,,
NF-SMB-A-35,2020-09-24,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,331,314,469,4.428,8.779,1.332,F,Y,,2020-12-13,7.07476,11.1769,2020-12-16,7.98462,,77.81987,,,,,,,
NF-SMB-A-36,2020-09-24,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,413,387,1083,12.447,18.979,1.834,F,Y,,2020-10-25,7.04893,8.703,2020-10-29,7.41867,,77.64665,2020-12-10,0.0105,25.6093,0.0256093,545.1938763,2438.981,
NF-SMB-A-37,2020-09-24,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,396,377,965,9.168,5.585,,M,Y,,2020-12-13,7.0936,11.48824,2020-12-16,8.04109,,78.43987,2020-12-10,0.0101,20.4812,0.0204812,437.2058009,2027.8442,
NF-SMB-A-38,2020-09-24,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,433,414,1306,14.978,8.508,,M,Y,,2020-10-25,7.07115,10.42012,2020-10-29,7.81652,,77.74331,2020-12-09,0.0102,36.4953,0.0364953,796.3380292,3577.9709,
NF-SMB-A-39,2020-09-24,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,445,420,1334,12.931,5.355,,M,Y,,2020-12-16,7.08854,10.09799,2020-12-18,7.77536,,77.17789,,,,,,,
NF-SMB-A-40,2020-09-24,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,481,453,1572,23.173,32.14,1.073,F,Y,,2020-12-14,7.07084,12.93973,2020-12-16,8.37671,,77.74928,,,,,,,
NF-SMB-A-41,2020-09-24,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,446,425,1376,16.923,27.882,1.084,F,Y,,2020-10-25,7.08404,9.63545,2020-10-29,7.63658,,78.34374,2020-12-09,0.0105,42.6892,0.0426892,880.4652059,4065.6382,
NF-SMB-A-42,2020-09-24,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,437,402,1260,13.805,6.985,,M,Y,,2020-10-25,7.04264,8.48014,2020-10-29,7.37568,,76.832,2020-11-03,0.0104,38.6275,0.0386275,860.5020564,3714.1836,
NF-SMB-A-43,2020-09-24,Saint John River,NF,45.97149,-66.719803,Adult,Smallmouth Bass,471,445,1368,15.101,24.483,1.686,F,Y,one otolith is broken,2020-10-24,7.02944,9.51367,2020-10-29,7.54756,,79.14364,2020-12-08,0.0102,60.2711,0.0602711,1232.387347,5908.9277,
